var_id;fam_id;typenq_id;vartype_id;var_nom;var_lib;var_label;var_ancienid;var_obs;var_datedebut;var_datefin;var_typeinit;var_valeurinit;var_unite;var_calcule
7;4;1;3;AO_Nom;AO : Nom de l'AO;AO_Nom;7;;32874;37986;P;;;
6086;4;1;16;SIREN_AO;SIREN_AO;Numéro de SIREN;;;42005;;V;;;
151;5;1;3;ENTR_Nom;EXPL : Nom et raison sociale de l'entreprise;ENTR_Nom;151;;32874;37986;P;;;
155;5;1;35;ENTR_SIRENE;EXPL : Numéro SIREN;N° SIREN;155;;32874;;P;;;
12;11;1;5;PTU_Date_Dern_Modif;PTU : Date d'approbation de la dernière modification du RT-AOM (ex-PTU);Date de l'approbation ou de la dernière modification du RT-AOM (ex-PTU) (la date doit être antérieure à la fin de l'année de l'enquête en cours);12;A compter de août 2015, la notion de Périmètre de Transport Urbain (PTU) par Ressort Territorial (RT-AOM).;34700;;V;;;
14;11;1;10;PTU_Nbre_Communes;PTU : Nombre total de communes dans le RT-AOM;Nombre total de communes dans le Ressort Territorial;14;;34700;;P;;communes;
180;11;1;10;DESS_Nbre_Communes;Communes desservies : Nombre de communes desservies;"Nombre de communes desservies <span style=""color:#0000FF""> (1)</span>";180;Nombre de communes déclaré par les Exploitants  puis valeur calculée à partir de la liste de communes rattachée à la personne morale depuis 2009;34700;;V;;communes;
181;11;1;14;DESS_Population;Communes desservies : Population totale (INSEE);"<span style=""color:#696969""><strong>Population desservie en habitants. </strong></span> (INSEE population totale, total recalculé automatiquement en fin d'enquête)";181;"Valeur déclarée dans le cahier vert, très difficilement vérifiable jusqu'en 2004. Données vérifiées à partir des données 2008 grâce au recensement des populations totales 2006.
A partir de 2004, la liste des communes desservies est demandée.";34700;;V;;habitants (population totale INSEE);1
486;11;1;4;PTU_Comment_1;PTU : Commentaire sur extension du PTU;Commentaires sur l'extension du PTU/Changement de forme juridique (reprise des contrats interurbains, réalisation de la desserte...);486;;37257;37986;V;;;
487;11;1;4;PTU_Comment_2;PTU : Commentaire sur extension du PTU (suite);PTU_Comment_2;487;;37257;37986;V;;;
605;11;1;14;PTU_Population;PTU : Population totale (INSEE);"<span style=""color:#696969""><strong>Population du Ressort territorial en habitants. </strong></span> (INSEE population totale, total recalculé automatiquement en fin d'enquête)";605;;34700;;V;;habitants (population totale INSEE);1
606;11;1;41;PTU_Superficie;PTU : Superficie en km²;"<span style=""color:#696969""><strong>Surface des communes du Ressort territorial en km2. </strong></span> (recalculé automatiquement en fin d'enquête)";606;;37987;;V;;km2;1
614;11;1;10;PTU_Nbre_Comm_Calcule;PTU : Nombre de communes du PTU (décompté à partir du fichier des communes rattachées à l'AO);PTU_Nbre_Comm_Calcule;;Variable calculée à partir de la liste des communes rattachées à la personne morale.Travail de reconstitution effectué une première fois en fonction de l'état de la base le 20/06/2006 et actualisé en 2012 sur l'état de la base au 26/11/2012;37987;;V;;;
615;11;1;16;PTU_Pop_RGP_99_ADC;PTU : Population PTU calculé à partir de la table des communes;PTU_Pop_RGP_99_ADC;;Population calculée par sommation des populations INSEE (RGP 1999 avec Doubles Comptes) de chaque commune attachée à la personne morale (AO) au 31/12 de l'année. Cette opération est effectuée pour toutes les années y compris antérieures à 1999. Travail;34700;38352;V;;;
616;11;1;41;PTU_Superficie_Calculee;PTU : Superficie du PTU calculée à partir de la liste des communes;PTU_Superficie_Calculee;;Superficie calculée par sommation des surfaces de chaque commune attachée à la personne morale (AO) au 31/12 de l'année.Travail de reconstitution effectué en fonction de l'état de la base le 20/06/2006 et ré-actualisé à partir de la base au 26/11/2012;35065;;V;;;
1201;11;1;38;PTU_Reprise_Contrat_Interurbains;PTU : Reprise de contrats interurbains si extension de PTU;En cas d'extension du ressort territorial ou de changement de forme juridique, l'AOM a-t-elle repris les contrat interurbains au cours de l'année ?;1201;Label avant 2015 : En cas d'extension du ressort territorial (ex-PTU) ou de changement de forme juridique, l'AO a-t-elle repris les contrat interurbains ?;37257;;V;;;
1810;11;1;41;DESS_Superficie;Communes desservies : Superficie en km²;"<span style=""color:#696969""><strong>Surface des communes desservies en km2. </strong></span> (recalculé automatiquement en fin d'enquête)";1810;;34700;;V;;km2;1
5262;11;1;5;PTU_Date_recensement_partiel;PTU : Recensement partiel : date de l'opération;Date de cette opération;;;38353;39447;V;;;
5263;11;1;16;PTU_Pop_recensement_partiel;PTU : Recensement partiel : nouvelle population totale;Nouvelle population totale (avec double compte) du PTU au 31/12/2007;;;38353;39447;V;;habitants;
5792;11;1;38;PTU_exist;Le réseau fonctionne dans un ressort territorial;Le réseau urbain est-il géré par une AO (arrêté de PTU existant) ?;;Créée en 2011 pour signaler les réseaux urbains de type AOT2;40544;;V;;;
